mode,stage,time(s)
DFS,1,0.13570642471313477
DFS,2,1.5865111351013184
DFS,3,0.3137669563293457
DFS,4,0.47403907775878906
DFS,5,0.6967685222625732
DFS,6,0.413698673248291
DFS,7,0.7011623382568359
DFS,8,0.7951500415802002
DFS,9,8.059964179992676
DFS,10,11.284947156906128
DFS,11,1.0442872047424316
DFS,12,2.2238428592681885
DFS,13,1.1473309993743896
DFS,14,1.8547124862670898
DFS,15,6.611748695373535
DFS,16,4.1936774253845215
DFS,17,3.8466222286224365
DFS,18,2.8005027770996094
DFS,19,1.0871305465698242
DFS,20,64.92401027679443
DFS,21,0.979677677154541
DFS,22,1.60459566116333
DFS,23,29.976536512374878
DFS,24,0.7942042350769043
DFS,25,1.6055965423583984
DFS,26,69.13871765136719
DFS,27,2.3682186603546143
DFS,28,120.78194284439087
DFS,29,12.122980117797852
DFS,30,2.8791708946228027
DFS,31,5.115342855453491
DFS,32,2.4428727626800537
DFS,33,7.449810981750488
